Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bowman-mechbird-sculpture,BOWMAN MECHBIRD SCULPTURE,"<p>The Bowman Mechbird Sculpture is a heady glass dab rig built for serious collectors who want their daily driver to double as a centerpiece. Hand-crafted in Spokane, WA, this mechanical bird form blends ultra-clean function with mind-bending detail, so you get a piece that absolutely rips but also lives on its own pedestal when you’re not seshing. Every Mechbird is unique, with American-made craftsmanship and full functionality wrapped into one wild, future‑aviary design.</p><p>This is the kind of rig you keep for years, not seasons. It’s designed for dabbers who care as much about line work, balance, and presence as they do about smooth pulls and tight function.</p><h2>Why You’ll Love It</h2><ul>
<li>
<strong>Gallery-level centerpiece</strong> — The mech-inspired bird form, with its sculpted body and detailed line work, looks like it belongs in a glass show, not just on a coffee table.</li>
<li>
<strong>True heady, not mass-produced</strong> — Each Mechbird is individually hand-made in Spokane, WA, so no two pieces are exactly alike.</li>
<li>
<strong>Built to be used, not just stared at</strong> — Under all the sculpture is a functional rig layout with clean diffusion and airflow designed for real-world dabbing.</li>
<li>
<strong>Stable footprint</strong> — The balanced, sculpted base keeps the piece planted so you’re not stressing about tip-overs mid-sesh.</li>
<li>
<strong>Feels like a forever piece</strong> — At this level, you’re not buying a rig to replace in a year; you’re adding a long-term anchor to your heady collection.</li>
</ul><h2>Best For</h2><p>This Mechbird is made for heady hunters and art-forward dabbers who already have the basics covered and are ready for a true centerpiece rig. It’s perfect if you’ve got a dialed-in station with a favorite <a href=""https://oilslickpad.com/collections/dabbing"">dab pad or mat</a> and want one showpiece that instantly upgrades the whole vibe.</p><p>If you’re the type to go to glass shows, follow artists, and care who actually made your rig, this fits right into that world.</p><h2>How to Use It</h2><p>Day to day, the Mechbird runs like a high-end rig should. Attach your preferred nail or banger, add water to your usual level for smooth diffusion, and you’re ready for your concentrates. The internal pathways are designed for clean, controlled airflow, so it feels as refined as it looks.</p><p>To keep everything safe and steady, park it on a quality <a href=""https://oilslickpad.com/collections/accessories"">dab station or nonstick setup</a> so you’re not sliding glass around on bare wood or glass tables. Treat it like the art piece it is—move it with two hands, and give it its own dedicated spot when not in use.</p><p>Pair it with your favorite carb cap and banger style, and it easily shifts from “showpiece for friends” to “personal daily driver” depending on how hard you like to run your seshes.</p><h2>Specifications</h2><table>
<tr>
<th>Category</th>
<td>Heady glass dab rig / sculpture</td>
</tr>
<tr>
<th>Height</th>
<td>Varies by individual piece</td>
</tr>
<tr>
<th>Material</th>
<td>Borosilicate glass</td>
</tr>
<tr>
<th>Artist / Origin</th>
<td>Hand-crafted in Spokane, WA, USA</td>
</tr>
<tr>
<th>Type</th>
<td>Made in USA, heady glass</td>
</tr>
</table><p>Because each Bowman Mechbird is hand-sculpted, exact height, volume, and shape will vary slightly from piece to piece. That’s part of the appeal—you’re not getting a factory clone.</p><h2>Care &amp; Cleaning</h2><p>Think of this like cleaning a high-end sports car, not hosing down a beater. Let the piece cool completely after use, then gently wipe or rinse out any residue you can reach. For deeper cleans, soak the functional areas in isopropyl alcohol, rinse thoroughly with warm water, and let it dry fully before you go back to dabbing.</p><p>To keep it looking fresh between washes, try to dump old water regularly and avoid letting reclaim build up in those tight sculpted sections. When you’re not using it, consider displaying it near your other top-shelf glass or next to your nicer <a href=""https://oilslickpad.com/collections/concentrate-jars"">concentrate jars and stash containers</a> so everything feels like part of one intentional setup.</p><h2>Heady Glass Context</h2><p>The Mechbird sits in that rare zone where sculpture and function actually meet in the middle. You’re not just paying for wild shaping—you’re getting an American-made rig from a serious glass worker with time in the game. For collectors already into American heady work, it’s the kind of piece that holds its own next to collabs, worked tubes, and other high-end rigs.</p><p>If you’re stepping up from simpler rigs or entry-level imports, this is a big leap into that “lifetime piece” category. It’s the kind of rig that deserves a clean workspace, maybe some padded surfaces, and dedicated tools that never leave your main <a href=""https://oilslickpad.com/collections/dab-tools-dabbers"">dab tool and dabber setup</a>.</p><h2>Display &amp; Protection Tips</h2><p>With this much work in the shaping and form, display matters. A sturdy shelf or enclosed case is ideal, with enough room to avoid bumping it when you’re grabbing other gear. Keeping it away from high-traffic zones or wobbly tables is a simple way to extend its life.</p><p>If you’re moving or traveling, pack it like real glass art—padded, supported on the base, and not tossed into a bag next to random accessories. When it’s in your regular rotation, pairing it with durable <a href=""https://oilslickpad.com/collections/smoke-shop-products"">smoke shop accessories that won’t scratch or chip glass</a> is a small but real upgrade.</p><h2>FAQ</h2><ul>
<li>
<strong>Is the Bowman Mechbird Sculpture actually functional as a rig?</strong><br>Yes. Under the wild sculpted bird design, it’s built as a fully functional dab rig. You get real diffusion and proper airflow—it’s made to be used, not just stared at on a shelf.</li>
<li>
<strong>Does this come with a banger or nail?</strong><br>The listing is for the sculpted rig itself. You can pair it with your preferred banger, nail, or other attachments, or upgrade to something special from your existing collection of <a href=""https://oilslickpad.com/collections/silicone-smoking-devices"">rigs and silicone-compatible accessories</a>.</li>
<li>
<strong>What kind of concentrates can I use with this?</strong><br>Any standard dab-friendly concentrates (like rosin, live resin, etc.) will work, as long as you’re using an appropriate banger or nail. The rig doesn’t care what you load—it just handles the vapor and cools it down.</li>
<li>
<strong>How fragile is it compared to a simple beaker or silicone rig?</strong><br>It’s still glass, so it won’t shrug off drops the way a silicone piece might, and the sculpted details deserve extra respect. That said, the base and structure are designed to stand stable, so as long as you don’t knock it over or mishandle it, it’s perfectly fine as a regular-use rig. If you want something totally worry-free for camping or travel, a dedicated piece from our <a href=""https://oilslickpad.com/collections/nectar-collectors-straws"">nectar collectors and travel straws</a> lineup might be better for on-the-go seshes.</li>
<li>
<strong>Is every Mechbird identical?</strong><br>No. Each one is handmade in Spokane, WA, so shapes, proportions, and tiny details will vary. You’re getting a one-of-a-kind piece, not a stamped copy.</li>
<li>
<strong>How should I clean around the more intricate sculpted areas?</strong><br>Let the rig cool, then gently rinse or soak the functional sections with isopropyl alcohol, rinse with warm water, and let it dry. For tight angles or detailed spots, patience and lighter cleans more often are better than aggressive scrubbing.</li>
<li>
<strong>Is this worth it if I mostly want a daily driver?</strong><br>If you just want something simple and indestructible, there are plenty of budget pieces for that. The Mechbird is for dabbers who want their daily driver to feel like art—something you’re proud to leave out when friends come over, and something that stands out in any serious collection.</li>
</ul>",What You Need,,Made In Usa,"family:glass-rig, material:borosilicate, material:glass, pillar:smokeshop-device, style:animal, style:heady, style:made-in-usa, use:dabbing",true,Title,Default Title,,,,,,,,WYN-BOWMAN-MECHBIRD-SCULPTURE-VXEM9,0.0,,deny,manual,8999.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1171/9050/files/IMG_1043.2.2-300x300.png?v=1758589966,1,BOWMAN MECHBIRD SCULPTURE,false,BOWMAN MECHBIRD SCULPTURE,"Bowman Glass Mechbird Sculpture Dab Rig Made in Spokane, WA",,,,,,,,,,,,,,,,lb,,3000.00,active
10-kerbybowman-collab-mech-burd-2-rig,10″ KERBY/BOWMAN COLLAB MECH BURD #2 RIG,"<p>The 10"" Kerby/Bowman Collab Mech Burd #2 Rig is a made-in-the-USA heady glass showpiece built for collectors who actually put fire to their art. Standing at 10 inches (254mm) with a 14mm male, 45° joint, it blends wild sci‑fi sculpture with dialed‑in function so you get both gallery vibes and real-world performance every time you pull it off the shelf.</p><p>Full CFL Serum with Haterade accents means this rig doesn’t just sit there—it shifts from champagne to rosy tones as your lighting changes, turning every sesh into a moving light show.</p><h2>Why You’ll Love This Rig</h2><ul>
<li>
<strong>True centerpiece energy</strong> — The Mech Burd silhouette and layered colorwork are built to live on the top shelf, not in the cabinet.</li>
<li>
<strong>Color that actually moves</strong> — CFL Serum glass shifts from champagne to soft rose depending on your light source, so the rig feels different at night than it does in the sun.</li>
<li>
<strong>Collector-level collab</strong> — Joint work from Kerby and Bowman means you’re getting a one-off piece with its own personality, not something that looks like every other rig online.</li>
<li>
<strong>Ready for serious dabs</strong> — 14mm male, 45° joint is made for modern bangers and accessories, so it’s not just pretty—it’s built to be used.</li>
<li>
<strong>Balanced and comfortable</strong> — Around 10 inches (254mm) is that sweet spot: big enough for function and flavor, small enough to handle comfortably on the couch or at the desk.</li>
<li>
<strong>Heady flex without compromise</strong> — You’re getting sculpture-level detail while still keeping a layout that’s actually cleanable and sesh-friendly.</li>
</ul><h2>Best For</h2><p>This rig is made for serious heady glass people—the ones who know artists by name and can spot CFL work from across the room. It’s ideal if you already have a daily driver and want <em>the</em> piece you pull out when friends are over, or when you’re staging a new drop on the table next to your favorite <a href=""https://oilslickpad.com/collections/concentrate-jars"">concentrate jars</a>.</p><p>If you’re the type who takes time dialing in your setup, photographing your rigs, or rearranging shelves just to show off the right angles, Mech Burd #2 will fit right into that ritual.</p><h2>The Artists &amp; The Build</h2><p>Kerby and Bowman don’t really do “simple.” This collab leans into that mechanical bird aesthetic—layered forms, sculpted lines, and clean welds that look like they’re in motion even when the rig’s just sitting there. It’s the kind of piece you keep finding new details on months later.</p><p>The full CFL Serum body is where the magic really lives. Under cooler indoor light it leans champagne and soft gold, then under different sources or sunlight that same glass wakes up with rosy, pinkish tones. The Haterade accents cut through all that warmth with sharp, electric hits of color, so the whole piece reads like a stylized mech out of a future cartoon.</p><h2>How to Use It</h2><p>Think of this like any other high-end 14mm rig—just with way better aesthetics. Pair it with your favorite 14mm female banger, directional cap, and a comfortable torch or e-rig setup, then let the shape and volume of the piece handle the rest. The 45° joint makes it really natural to use at a coffee table height without wrestling your angle.</p><p>Set it down on a quality <a href=""https://oilslickpad.com/collections/dabbing"">dab mat</a> or pad when you’re in use mode, so any stray drips or reclaim hit silicone instead of your shelves or desk.</p><p>Cleaning is about respect with heady pieces. Let everything cool off, then rinse and gently swish; for deeper cleans you can soak with isopropyl alcohol, rinse with clean water, and dry fully before putting it back under the lights. Treat it like the functional sculpture it is and it’ll stay in rotation for years.</p><h2>Specifications</h2><table>
<tr>
<th>Height</th>
<td>10 inches (254mm)</td>
</tr>
<tr>
<th>Joint Size &amp; Gender</th>
<td>14mm Male</td>
</tr>
<tr>
<th>Joint Angle</th>
<td>45°</td>
</tr>
<tr>
<th>Material / Colorway</th>
<td>Full CFL Serum with Haterade Accents</td>
</tr>
<tr>
<th>Category</th>
<td>Heady Glass Dab Rig – Made in USA</td>
</tr>
</table><h2>Fit &amp; Compatibility</h2><p>With a 14mm male, 45° joint, this rig is built to play nice with standard 14mm female bangers, dropdowns, and reclaim catchers. That 45° cut is especially friendly for people who like to run slightly larger nail setups without feeling crowded by the can.</p><p>If you’re running a full setup—directional carb cap, pearls, etc.—this rig gives them room to shine. Pair it with your favorite cap or explore new airflow options in our selection of <a href=""https://oilslickpad.com/collections/carb-caps"">carb caps</a> to really fine-tune your function.</p><h2>Care Tips</h2><p>Heady glass deserves a little routine. Try to empty water between seshes or at least daily if it’s staying on display, so you don’t get that stale line inside the can. Let the banger and joint cool fully before you move or clean anything.</p><p>For deeper cleaning, a simple soak in isopropyl alcohol followed by a rinse and dry is usually all you need. Avoid harsh tools or scrubbing anything near the artwork—let the alcohol do the work so you don’t risk scratches or micro-abrasions on those color sections. When it’s not in use, a padded shelf next to your other premium <a href=""https://oilslickpad.com/collections/smoke-shop-products"">smoke shop pieces</a> is the safest home base.</p><h2>FAQ</h2><ol>
<li>
<strong>Will this rig fit my current banger setup?</strong><br><br>The Mech Burd #2 has a 14mm male, 45° joint, so it fits any standard 14mm female banger or nail. If your current pieces are 14mm female, you’re set—just drop one in and you’re ready.</li>
<li>
<strong>Is this meant to be used or just displayed?</strong><br><br>Both. It’s absolutely a collector-level piece, but it’s also fully functional heady glass. Many people use rigs like this as their “special occasion” or weekend setup and keep a different daily driver in rotation alongside more rugged <a href=""https://oilslickpad.com/collections/silicone-smoking-devices"">silicone rigs</a> for travel and rougher use.</li>
<li>
<strong>How hard is it to keep clean without damaging the artwork?</strong><br><br>As long as you stick to isopropyl alcohol, gentle rinsing, and patience, it’s straightforward. Let everything cool, soak if needed, rinse with clean water, and air dry. Avoid abrasive brushes or anything that could scratch the glass.</li>
<li>
<strong>What makes CFL Serum special compared to regular glass colors?</strong><br><br>CFL Serum reacts to certain light wavelengths, so it shifts in tone depending on the light in your space. You’ll notice more champagne or golden vibes in some lighting, and softer rose tones in others, which keeps the rig feeling “alive” on the shelf. It’s a favorite among heady collectors who like pieces that change throughout the day.</li>
<li>
<strong>Is this rig good as a first “nice” piece?</strong><br><br>If you’re jumping straight into high-end heady glass, this is one of those forever pieces you build a collection around. Just know you’re in serious territory here—many people start with more affordable setups, then upgrade to something like this once they’ve dialed in their preferences and storage game with proper <a href=""https://oilslickpad.com/collections/storage-packaging"">storage and packaging</a> for their concentrates.</li>
<li>
<strong>Does it come with any accessories?</strong><br><br>The listing is for the rig itself. You’ll need to supply your own 14mm female banger, cap, and tools. If you’re curating a full heady setup around it, you can match it with unique tools from our rotating <a href=""https://oilslickpad.com/collections/accessories"">accessories</a> collections to keep the whole station on theme.</li>
<li>
<strong>What’s the advantage of the 10"" height?</strong><br><br>About 10 inches (254mm) is a great balance: enough internal volume for smooth, flavorful pulls and visible function, but not so tall that it feels awkward to handle or harder to store. It’s a comfortable size for both solo seshes and passing around the room without feeling like you’re juggling a sculpture.</li>
</ol>",What You Need,,Made In Usa,"family:glass-rig, joint_angle:45, joint_gender:female, joint_size:14mm, length:10in, material:glass, pillar:smokeshop-device, style:heady, style:made-in-usa, use:dabbing",true,Title,Default Title,,,,,,,,WYN-10-KERBYBOWMAN-COLLAB-MECH-BURD-2-RIG-0OEKJ,0.0,,deny,manual,6999.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1171/9050/files/IMG_3777.2.2.2-300x300_905b51d6-4161-41af-90a4-6aaec61fd25b.png?v=1758589965,1,10″ KERBY/BOWMAN COLLAB MECH BURD #2 RIG,false,10″ KERBY/BOWMAN COLLAB MECH BURD #2 RIG,10’’ Mech Burd #2 Collaboration Rig Made by Kerby and Bowman Full CFL Serum with Haterade Accents. Champagne color shifts to Rose depending on lighting 14mm Mal,,,,,,,,,,,,,,,,lb,,2500.00,active
cowboy-holy-waters-sherlock-pipe,COWBOY HOLY WATERS SHERLOCK PIPE,"<p>The Cowboy Holy Waters Sherlock Pipe is a high-end, American-made art glass hand pipe built for serious collectors who want a true centerpiece, not just another spoon. Made by Chris Kerner (Cowboy) in Eugene, Oregon, it blends elite function with gallery-level aesthetics. The Fire and Ice color work and plate stack construction turn every sesh into a flex.</p>

<h2>Why It Hits Different</h2>
<ul>
<li>
<strong>Display piece that absolutely rips</strong> — Signature Cowboy shaping and plate stack radness give you something that looks museum-ready but still works as a legit daily driver.</li>
<li>
<strong>Wild color contrast</strong> — Fire and Ice palette throws hot and cold tones against each other, so the pipe shifts personality depending on the light.</li>
<li>
<strong>Refined airflow, smooth pulls</strong> — The Sherlock profile and hollow disk wigwag mouthpiece help deliver comfortable, controlled hits instead of harsh, straight-shot draws.</li>
<li>
<strong>Loaded with details</strong> — Faceted bowl, millies, and layered construction reward close-ups when you're passing it around or just staring at it on the coffee table.</li>
<li>
<strong>Heirloom-level craftsmanship</strong> — Handbuilt in Eugene, OR by a named artist whose work is featured in <em>This Is A Pipe</em>, so the value is in the art as much as the function.</li>
<li>
<strong>Built for real use</strong> — Even at collectible status and price, this is still a thoughtfully designed hand pipe meant to be used, not just locked in a case.</li>
</ul>

<h2>Best For</h2>
<p>This piece is made for glass heads who are already deep into the scene—people who know artist names, follow drops, and treat pipes like sculpture. If you’ve outgrown throwaway glass and want one signature Sherlock that defines your setup, this belongs in that conversation. It also pairs well with durable, on-the-go gear like our <a href=""https://oilslickpad.com/collections/silicone-pipes"">silicone pipes</a> so you can keep this Cowboy safe at home and travel with something more bombproof.</p>

<h2>How to Use &amp; Live With It</h2>
<p>The basics are simple: it’s a Sherlock hand pipe—pack the bowl, use the carb, and enjoy the smoother, angled draw that keeps the heat away from your face. The elongated neck also helps cool things a bit compared to a stubby spoon, so your hits feel more refined.</p>
<p>Treat it like a functional art piece. When you’re loading up, set it on a soft, stable surface like a <a href=""https://oilslickpad.com/collections/dabbing"">dab mat</a> or padded tray so you’re not risking a drop on a hard table. Avoid tapping it out on rough edges; use a tool or a soft surface instead.</p>
<p>For upkeep, let it fully cool before cleaning. Tap or blow out loose ash, then wipe exposed areas with a soft cloth or cotton swab. For deeper cleans, soak in isopropyl alcohol, rinse thoroughly with warm water, and let it dry completely before the next sesh.</p>

<h2>Specifications</h2>
<table>
<tr>
<th>Category</th>
<td>High-end Sherlock hand pipe</td>
</tr>
<tr>
<th>Artist</th>
<td>Chris Kerner (AKA Cowboy)</td>
</tr>
<tr>
<th>Design</th>
<td>Cowboy Holy Waters Sherlock with plate stack construction</td>
</tr>
<tr>
<th>Colorway</th>
<td>Fire and Ice</td>
</tr>
<tr>
<th>Key Features</th>
<td>Faceted bowl, signature millies, hollow disk wigwag mouthpiece</td>
</tr>
<tr>
<th>Origin</th>
<td>Eugene, Oregon, USA</td>
</tr>
<tr>
<th>Type</th>
<td>Made in USA, artisanal glass</td>
</tr>
</table>

<h2>Fit, Feel &amp; Function</h2>
<p>That Sherlock curve isn’t just for looks—it brings the bowl down and away while the mouthpiece comes up toward you, so you get a relaxed, ergonomic hand position. The faceted bowl adds grip and sparkle under light, and the mouthpiece disk gives your lips a natural landing point.</p>
<p>This isn’t a pocket beater. It’s ideal as a home piece where you can control the environment, keep it clean, and enjoy the details. For safe storage between sessions, many collectors pair high-end glass with padded cases and stash their flower separately in proper <a href=""https://oilslickpad.com/collections/glass-jars-extract-packaging"">glass jars &amp; packaging</a> to keep everything organized and protected.</p>

<h2>Collectible Value</h2>
<p>What pushes this beyond “nice pipe” territory is the name and the execution. Cowboy is a recognized glass artist, and having work tied to projects like <em>This Is A Pipe</em> adds extra credibility for collectors tracking provenance and long-term value.</p>
<p>At this price, you’re investing in studio time, concept, and reputation as much as the physical glass. If you’re already curating a shelf of American functional art—or planning to start—this Sherlock sits comfortably in that top-tier lane alongside other Made in USA heavy hitters and can live right next to more rugged daily gear from our broader <a href=""https://oilslickpad.com/collections/smoke-shop-products"">smoke shop products</a> lineup.</p>

<h2>FAQ</h2>
<ul>
<li>
<strong>Is each Cowboy Holy Waters Sherlock Pipe truly one of a kind?</strong><br>
Yes. Because Cowboy hand-crafts these pieces, each pipe will have its own subtle variations in linework, color balance, and details. The Fire and Ice theme and core design repeat, but no two are exactly the same.
</li>
<li>
<strong>Can I actually use this as a daily driver, or is it just for display?</strong><br>
You can absolutely use it as a daily driver if you’re careful with your glass. Many collectors rotate a piece like this for “special occasion” seshes and keep a tougher backup pipe or even a <a href=""https://oilslickpad.com/collections/silicone-smoking-devices"">silicone bong or rig</a> for rougher use or clumsy friends.
</li>
<li>
<strong>How should I clean it without risking damage?</strong><br>
Let the pipe cool first so there’s no thermal shock. Tap or blow out loose ash gently, then use isopropyl alcohol for deeper cleans—either a soak or a rinse—followed by a thorough warm water rinse and full air-dry. Avoid harsh abrasives or metal tools against the glass.
</li>
<li>
<strong>Does the Sherlock shape really change the way it hits?</strong><br>
Yes. The curved neck and length between bowl and mouthpiece can make hits feel smoother compared to very short, straight pipes. It also keeps your face a bit farther from the bowl, which a lot of people find more comfortable over longer seshes.
</li>
<li>
<strong>What makes Cowboy’s work a “collector’s item” instead of regular glass?</strong><br>
It comes down to recognized artist status, consistent style, and execution. Cowboy’s name, the Holy Waters theme, the plate stack building, and being featured in projects like <em>This Is A Pipe</em> all contribute to this being a piece you can identify, talk about, and potentially see hold or increase value in a serious glass collection.
</li>
<li>
<strong>How should I store it when I’m not using it?</strong><br>
Ideally, keep it on a padded stand, in a display case, or in a cushioned box where it won’t get knocked over. Many people keep their flower or concentrates in separate <a href=""https://oilslickpad.com/collections/storage-packaging"">storage &amp; packaging</a> solutions and only bring this piece out once everything else is set up, then put it away right after the sesh.</li>
<li>
<strong>Is this pipe covered under any kind of warranty if I break it?</strong><br>
In almost all cases, glass is considered fragile art—if it’s dropped, knocked, or smashed, that’s not covered. The craftsmanship is top-tier, but it’s still glass, so treat it with respect and handle it like the premium piece it is.</li>
</ul>",What You Need,,Made In Usa,"family:character-pipe, family:spoon-pipe, material:glass, pillar:smokeshop-device, style:made-in-usa, use:flower-smoking",true,Title,Default Title,,,,,,,,WYN-COWBOY-HOLY-WATERS-SHERLOCK-PIPE-HBW5A,0.0,,deny,manual,5999.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1171/9050/files/20240124_101226.2-300x300.png?v=1758589963,1,COWBOY HOLY WATERS SHERLOCK PIPE,false,COWBOY HOLY WATERS SHERLOCK PIPE,2007 Holy Waters Sherlock Made by Chris Kerner AKA Cowboy @cowboyglasss featured in “This is a Pipe” Publication Fire and Ice Colors Signature Millies Faceted B,,,,,,,,,,,,,,,,lb,,2000.00,active
cowboy-holy-waters-sherlock-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1171/9050/files/20240124_101038.2.png?v=1758589965,2,COWBOY HOLY WATERS SHERLOCK PIPE,,,,,,,,,,,,,,,,,,,,,,
cowboy-holy-waters-sherlock-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1171/9050/files/20240124_101018.2.png?v=1758589965,3,COWBOY HOLY WATERS SHERLOCK PIPE,,,,,,,,,,,,,,,,,,,,,,
cowboy-holy-waters-sherlock-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1171/9050/files/20240124_101226.2.png?v=1758589964,4,COWBOY HOLY WATERS SHERLOCK PIPE,,,,,,,,,,,,,,,,,,,,,,
cowboy-holy-waters-sherlock-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1171/9050/files/20240124_101214.2.png?v=1758589965,5,COWBOY HOLY WATERS SHERLOCK PIPE,,,,,,,,,,,,,,,,,,,,,,
cowboy-holy-waters-sherlock-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1171/9050/files/20240124_101205.2.png?v=1758589966,6,COWBOY HOLY WATERS SHERLOCK PIPE,,,,,,,,,,,,,,,,,,,,,,
cowboy-holy-waters-sherlock-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1171/9050/files/20240124_101122.2.png?v=1758589966,7,COWBOY HOLY WATERS SHERLOCK PIPE,,,,,,,,,,,,,,,,,,,,,,
cowboy-holy-waters-sherlock-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1171/9050/files/20240124_101115.2.png?v=1758589965,8,COWBOY HOLY WATERS SHERLOCK PIPE,,,,,,,,,,,,,,,,,,,,,,
